"","k","top"
"1",1,"дань острове васильевском народные уважения руси блины гулянья масленицы песнями зимы гуляния масленица алисы весны стиле народными блинами устроят скоморохи"
"2",2,"br пути любви поиске человека собой творческого самим творческом расскажет история судьбой стефана цвейга её нова непростой письмо котором человеке"
"3",3,"kudago href spb place https http театра concerts event сцене mariinsky rock mihajlovskij-teatr михайловского биржа birzha-bar петербургского новой шоу erarta"
"4",4,"исполнении композиторов прозвучат песни произведения музыка разных русских программе театра сочинения исполнят также композиции артистов шедевры прозвучит музыку эпох барокко"
"5",5,"кино фильмов фильмы языке фестиваля будут фестиваль лучшие покажут фестивале лучших работы которые фильм короткометражных рамках режиссеров субтитрами россии мира"
"6",6,"дети смогут гости узнают участники зрители увидят будут познакомятся маленькие вместе юные ребята станут также героями посетители самые взрослые отправятся"
"7",7,"пор сих тех мастерской квartира творческой ксения джо жени каких творческая любич этаж петербургской государства соколов брауна тысячи споры мастерская"
"8",8,"история любви комедия жизни постановка спектакль женщины постановке которой которая самая сказка это дружбе любовь роли пьеса юмора драма женщин"
"9",9,"мир путешествие атмосферу окунуться времени погрузиться приглашают приглашает пространство прошлое совершить увлекательное погружение историю весь отправиться будущее предлагает вместе реальность"
"10",10,"клубе сцене концерт клуба группа группы зал выступит ожидания состоится клуб ноября декабря выступят mod космонавт октября даст большой jagger"
"11",11,"жизни человека своем новом творчестве своих своём темы людей проекте общества окружающей художница времени образ среде современного форм обращается мира"
"12",12,"успех впервые вход свободный прибудет совместно художественным руководителем партия свежая реставрации guitar россию название страну процесс проспекту специальный дебютная ad"
"13",13,"петербурга города путешествие город экскурсии музеев истории экскурсия время ночь петербург неве тайны санкт-петербурга места экскурсию сможете узнать увидите прогулки"
"14",14,"приобрести вещи руками ярмарка подарки вещей украшения своими работы ярмарке которые одежды изделия игрушки также подарков дизайнеров ручной аксессуары найти"
"15",15,"станет является году одним который стал главным самым стала мире стали называют которого событием традицией частью считается первым первых которой"
"16",16,"билеты рублей цене вместо скидкой посетить приобрести упустите компания акции билет горбилет получить можете билетов скидка действует полцены купить предложение"
"17",17,"расскажет моды лекция известный истории лекцию стиля лекции историк проведет автор поделится лев проведёт лекций писатель лурье тему музыковед искусства"
"18",18,"фестиваль пройдет день петербурге который года праздник состоится города будут пройдёт санкт-петербурге мая году сентября июня первый августа которого международный"
"19",19,"оставит оперетта чуковского финский имре добра равнодушными кальмана равнодушным оперетты корнея шведской никого света астрид линдгрен hot венгерского легара княгини"
"20",20,"художник александр петербургский известный россии сергей артист мастер юрий первую владимир режиссер свои народный дмитрий очередь николай евгений молодой игорь"
"21",21,"пола прекрасного роль свободном представительниц главных играет пространстве паруса ролях дорога алые дамы джеймс прямая войну второе сыграли февраля тони"
"22",22,"премии конкурсов международных лауреат золотой года конкурса обладатель маски золотая лауреаты россии премий лучший лауреата молодой премию лауреатов имени маска"
"23",23,"работы выставка художников художника искусства произведения работ представляет проект живописи петербургского выставки мастера современных выставке фотографии картины представлены известного экспозиция"
"24",24,"блюда кухни готовить кофе мастер-класс блюд ресторан меню попробовать ресторане ресторана гостей отведать кафе вкусно ресторанный кухня шеф-повар ресторанов вкусные"
"25",25,"самых одного одной лучших петербурга одна известных молодых российских ярких россии одно популярных ведущих одном музыкантов коллективов двух групп музыкальных"
"26",26,"братьев война андерсена ганса вторая гримм христиана мартина макдонаха часть отечественная первая раньше стране против нино великая кристиана мировая первым"
"27",27,"выставка пройдет рамках состоится встреча посвященная международная октября первая россии санкт-петербурге дворце проекта апреля посвящена моды года которая очередная марта"
"28",28,"детей спектакль сказки родителей зрителей взрослых маленьких лет юных детский сказка представление детям театр сказок дом мир приключения приглашает герои"
"29",29,"книги небом открытым стихи вечер книг анны библиотеке встреча имени ахматовой творческий библиотека бродского стихов буквоеде литературы арт-кафе библиотеки чтения"
"30",30,"квест предстоит реальности пройти приключений квеста приключения игры разгадать выбраться приключение спасти участникам предлагает команда загадки квесте компания квестов гарри"
"31",31,"снимки фотографии фотограф журнала фотографий фотографов фото память фотография издания снимков журнал снимках запечатлеть фотографы фотосессии съемки расскажет сделать журналов"
"32",32,"жизни образа радуга трк здорового питер house питерлэнд трц торгово-развлекательном посетителей fitness континент центр сеть комплекса галерея приятное комплексе спорта"
"33",33,"великой войны истории отечественной победы мировой ленинграда войне время первой блокады советского события экспозиция революции выставка военных событий рассказывает годы"
"34",34,"спектакль театра постановка пьесе постановке александра мотивам драматурга пьесы режиссера премьера спектакля театр представляет режиссёр пьеса произведений режиссёра основу владимира"
"35",35,"полной настроение отличное руки которые мере энергии сил свидания спектр полный ощущений будней помогут компания знакомств воедино вверх эмоций новых"
"36",36,"слушателей пикколо пространстве миром музыкальных лет детей который юных музыка маленьких очередной познакомить возраст музыкальный музыкального самых программа проектом цикла"
"37",37,"вне дк карло льюиса рамок чудес кэрролла имени селе ленсовета стране границ зависимости представлений объединение газа гольдони царском гоцци полна"
"38",38,"шоу событие представление это мероприятие яркое музыкальное самое грандиозное которое действо новое ожидает формате зрителей ждет уникальное праздничное масштабное необычное"
"39",39,"фестиваля рамках международного конкурса участников проекта музыкального музыкальная выступление сезона мирового уровня пройдет серии весна состоится тура концерт посвященного форума"
"40",40,"вопросы ответы другие вопрос многие ответ ответит какие ответить найти почему человека темы узнаете такое pink важные проблемы каким floyd"
"41",41,"недорого испытать всё наличии адреналина купона почувствовать отдых активный town это полёт коньках удовольствия покататься обойдётся купон rock бесплатного ловкость"
