"clust_5","category","total_mentions"
"1","amusement",35
"1","anticafe",22
"1","art-centers",13
"1","attractions",130
"1","ball",18
"1","banquets",1
"1","bar",54
"1","bazy-otdyha",35
"1","business-events",14
"1","cafe",18
"1","castle",11
"1","circus",68
"1","climbing-walls",1
"1","clothing",33
"1","clubs",3
"1","coffee",19
"1","course",26
"1","dance-trainings",16
"1","education-centers",1
"1","evening",4
"1","fashion",13
"1","fitness",4
"1","flashmob",51
"1","gallery",2
"1","games",92
"1","gifts",33
"1","handmade",33
"1","homesteads",25
"1","hotels",13
"1","houses",29
"1","ice-rink",18
"1","inn",6
"1","interesting-places",50
"1","karaoke",1
"1","masquerade",3
"1","meeting",17
"1","monument",7
"1","museums",100
"1","night",51
"1","painting",22
"1","party",104
"1","permanent-exhibitions",24
"1","photo",3
"1","photo-places",92
"1","pocket-parks",8
"1","pub",18
"1","questroom",2
"1","restaurants",27
"1","rollerdromes",5
"1","romance",37
"1","sale",12
"1","salons",10
"1","shooting-ranges",10
"1","shopping",76
"1","shops",33
"1","slope",19
"1","social-activity",43
"1","suburb",13
"1","theatre",6
"1","yandex-export",11
"1","yard",10
"1","zoo",17
"2","amusement",15
"2","anticafe",12
"2","art-centers",9
"2","attractions",104
"2","ball",7
"2","banquets",1
"2","bar",33
"2","bazy-otdyha",20
"2","business-events",19
"2","cafe",11
"2","castle",17
"2","circus",106
"2","climbing-walls",1
"2","clothing",21
"2","clubs",1
"2","coffee",15
"2","course",22
"2","dance-trainings",13
"2","evening",2
"2","fashion",7
"2","fitness",2
"2","flashmob",29
"2","gallery",1
"2","games",46
"2","gifts",21
"2","handmade",21
"2","homesteads",18
"2","hotels",6
"2","houses",23
"2","ice-rink",10
"2","inn",1
"2","interesting-places",42
"2","masquerade",5
"2","meeting",13
"2","monument",6
"2","museums",72
"2","night",32
"2","painting",13
"2","party",96
"2","permanent-exhibitions",10
"2","photo",2
"2","photo-places",63
"2","pocket-parks",6
"2","pub",9
"2","questroom",1
"2","restaurants",33
"2","rollerdromes",2
"2","romance",25
"2","sale",15
"2","salons",5
"2","shooting-ranges",4
"2","shopping",72
"2","shops",21
"2","slope",9
"2","social-activity",35
"2","suburb",8
"2","theatre",9
"2","yandex-export",10
"2","yard",7
"2","zoo",8
"3","amusement",23
"3","anticafe",10
"3","art-centers",1
"3","attractions",105
"3","ball",11
"3","bar",33
"3","bazy-otdyha",17
"3","business-events",7
"3","cafe",12
"3","castle",5
"3","circus",50
"3","climbing-walls",3
"3","clothing",14
"3","clubs",3
"3","coffee",19
"3","course",25
"3","dance-trainings",17
"3","education-centers",2
"3","evening",1
"3","fashion",2
"3","fitness",1
"3","flashmob",18
"3","games",43
"3","gifts",14
"3","handmade",14
"3","homesteads",16
"3","hotels",4
"3","houses",17
"3","ice-rink",11
"3","inn",4
"3","interesting-places",40
"3","karaoke",1
"3","masquerade",3
"3","meeting",5
"3","monument",7
"3","museums",56
"3","night",30
"3","painting",14
"3","party",67
"3","permanent-exhibitions",9
"3","photo",4
"3","photo-places",59
"3","pocket-parks",9
"3","pub",15
"3","questroom",4
"3","restaurants",18
"3","rollerdromes",10
"3","romance",22
"3","sale",7
"3","salons",4
"3","shooting-ranges",4
"3","shopping",58
"3","shops",14
"3","slope",22
"3","social-activity",26
"3","suburb",13
"3","theatre",3
"3","yandex-export",13
"3","yard",5
"3","zoo",7
"4","amusement",16
"4","anticafe",1
"4","art-centers",5
"4","attractions",45
"4","ball",5
"4","banquets",1
"4","bar",14
"4","bazy-otdyha",4
"4","business-events",16
"4","cafe",4
"4","castle",9
"4","circus",36
"4","clothing",13
"4","clubs",1
"4","coffee",5
"4","course",9
"4","dance-trainings",9
"4","education-centers",1
"4","fashion",3
"4","flashmob",14
"4","games",24
"4","gifts",13
"4","handmade",13
"4","homesteads",9
"4","hotels",3
"4","houses",10
"4","ice-rink",3
"4","interesting-places",19
"4","masquerade",2
"4","meeting",7
"4","monument",3
"4","museums",33
"4","night",20
"4","painting",6
"4","party",43
"4","permanent-exhibitions",5
"4","photo",1
"4","photo-places",25
"4","pocket-parks",7
"4","pub",6
"4","questroom",1
"4","restaurants",3
"4","rollerdromes",1
"4","romance",10
"4","sale",3
"4","salons",1
"4","shooting-ranges",2
"4","shopping",29
"4","shops",13
"4","slope",1
"4","social-activity",12
"4","suburb",6
"4","theatre",3
"4","yandex-export",8
"4","yard",3
"4","zoo",7
"5","amusement",18
"5","anticafe",14
"5","art-centers",5
"5","attractions",91
"5","ball",6
"5","bar",26
"5","bazy-otdyha",20
"5","business-events",22
"5","cafe",11
"5","castle",10
"5","circus",63
"5","clothing",17
"5","clubs",1
"5","coffee",6
"5","course",18
"5","dance-trainings",10
"5","evening",2
"5","fashion",7
"5","fitness",1
"5","flashmob",27
"5","games",45
"5","gifts",17
"5","handmade",17
"5","homesteads",12
"5","hotels",4
"5","houses",13
"5","ice-rink",9
"5","inn",1
"5","interesting-places",41
"5","masquerade",1
"5","meeting",8
"5","monument",6
"5","museums",86
"5","night",19
"5","open",1
"5","painting",11
"5","party",46
"5","permanent-exhibitions",19
"5","photo-places",50
"5","pocket-parks",9
"5","pub",9
"5","questroom",2
"5","restaurants",20
"5","rollerdromes",7
"5","romance",21
"5","sale",9
"5","salons",9
"5","shooting-ranges",10
"5","shopping",40
"5","shops",17
"5","slope",14
"5","social-activity",22
"5","suburb",13
"5","theatre",7
"5","yandex-export",5
"5","yard",7
"5","zoo",10
