"","freq","word"
"1",4940,"спектакли"
"2",4577,"балет"
"3",4577,"опера"
"4",4174,"раздел"
"5",2842,"рок"
"6",2252,"итд"
"7",1845,"развлечения"
"8",1652,"живопись"
"9",1350,"фестивали"
"10",1267,"блюзконцерты"
"11",1171,"концертыджаз"
"12",1050,"концерты6классическая"
"13",1029,"детям"
"14",997,"6классическаяконцерты"
"15",982,"для"
"16",865,"картины"
"17",756,"театр"
"18",746,"электронная"
"19",564,"рокнроллконцерты"
"20",523,"итддетские"
"21",520,"музыка"
"22",487,"графика"
"23",485,"постановки"
"24",479,"выставки"
"25",457,"рокнролл18концерты"
"26",428,"знания"
"27",421,"16рок"
"28",407,"личности"
"29",399,"мировая"
"30",377,"отдых"
"31",375,"рокнроллрусский"
"32",369,"ярмарки"
"33",354,"графикавыставки"
"34",342,"детские"
"35",330,"рокконцерты"
"36",330,"выставкисовременное"
"37",326,"выставкикартины"
"38",325,"современное"
"39",324,"18джаз"
"40",319,"блюз12"
"41",318,"городскиефестивали"
"42",315,"детямдетские"
"43",314,"блюз18"
"44",309,"хипхопконцерты"
"45",309,"12джаз"
"46",305,"хипхоп"
"47",292,"концерты"
"48",291,"искусство"
"49",285,"кино"
"50",266,"фолк"
"51",265,"рокнроллконцерты18"
"52",257,"16спектакльтеатр"
"53",255,"драматические"
"54",254,"детейдетские"
"55",251,"спектакльтеатр"
"56",247,"выставкиистория"
"57",237,"12концертыклассическая"
"58",235,"бизнеса"
"59",227,"итд12"
"60",217,"итддраматические"
"61",212,"фестиваликино"
"62",209,"классическаяконцерты12"
"63",204,"вечера"
"64",203,"рокнроллконцерты16"
"65",190,"на"
"66",188,"танцами"
"67",181,"рокнроллджаз"
"68",171,"фестивалиночь"
"69",169,"творческие"
"70",163,"акции"
"71",162,"праздники"
"72",162,"год"
"73",155,"развлечениядетские"
"74",154,"искусствовыставки"
"75",147,"блюз"
"76",143,"airфестивали"
"77",142,"выставкиfreeкартины"
"78",141,"фотовыставки"
"79",140,"открытых"
"80",137,"драматургиятеатр"
"81",136,"freeярмарки"
"82",135,"ночь"
"83",133,"концерты6классическаядругое"
"84",133,"6другоеклассическаяконцерты"
"85",129,"рокнроллконцерты12"
"86",127,"акции18скидки"
"87",125,"графикаfreeвыставки"
"88",123,"концертырусский"
"89",122,"развлеченияшоу"
"90",121,"шоу"
"91",120,"вечеринки18"
"92",119,"концерты16рэп"
"93",119,"детямспектакльдетские"
"94",118,"музеев"
"95",117,"вечеринкиночь18"
"96",116,"ёлки"
"97",115,"16рэп"
"98",115,"по"
"99",114,"игры"
"100",114,"февраля"
"101",113,"мода"
"102",112,"фестивалидетские"
"103",112,"яндекс"
"104",111,"концертыклассическая"
"105",111,"аксессуары"
"106",111,"обувь"
"107",110,"16джаз"
"108",109,"18рок"
"109",106,"18концертырэп"
"110",103,"спорт"
"111",102,"18скидкиакции"
"112",102,"детямспектакльтеатр"
"113",101,"6детские"
"114",101,"прикладное"
"115",101,"ювелирные"
"116",101,"театрперфоманс"
"117",100,"фолкрок"
"118",100,"вечер"
"119",99,"детьми"
"120",99,"детямфестивали"
"121",98,"рокнроллиндиконцерты"
"122",98,"представления"
"123",97,"попмузыкаконцерты12"
"124",96,"театртеатр"
"125",94,"музыкаконцерты"
"126",94,"air"
"127",93,"вечеринки"
"128",93,"постановкиспектакль16театр"
"129",93,"пригласить"
"130",92,"музыкавечеринкипотанцевать18танцевальная"
"131",91,"другоерок"
"132",90,"повышение"
"133",89,"гуманитарные"
"134",89,"искусствоfree"
"135",88,"музыка18концерты"
"136",85,"18кино"
"137",85,"блюз16"
"138",84,"детямтеатр"
"139",84,"искусствоfreeвыставки"
"140",83,"18рэп"
"141",83,"концертымировая"
"142",82,"18панкрок"
"143",82,"рокнроллметалконцерты"
"144",81,"концерты6попмузыка"
"145",80,"12спектакльтеатр"
"146",80,"акциискидки"
"147",80,"фотоfreeвыставки"
"148",80,"скидкиакции"
"149",79,"фестивалишоу"
"150",79,"пойти"
"151",78,"новогодние"
"152",77,"распродажа"
"153",76,"качества"
"154",76,"12концертыпопмузыка"
"155",76,"хореографические"
"156",76,"драматургияэкспериментальный"
"157",76,"спектаклидетские"
"158",75,"развлечениякино"
"159",75,"театрдраматические"
